title,link,length in sec,views,publish-date,thumbnail-Url
Typisch🚦: Auch im Verkehr völlig ideologiegetrieben! René Bochmann - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=ZmIELW8dmhM,188,18690,2023-10-26,https://i.ytimg.com/vi/ZmIELW8dmhM/hq720.jpg
Lobbyismus-Industrie - Geldströme offenlegen und kontrollieren! - Thomas Seitz - AfD-Fraktion im BT,https://www.youtube.com/watch?v=dOPw3dZGi3E,196,9991,2023-10-26,https://i.ytimg.com/vi/dOPw3dZGi3E/hq720.jpg
Die Bürokratie in unserem Land ist unerträglich! Dr. Christian Wirth - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=R0TM5Y2toT0,218,5582,2023-10-26,https://i.ytimg.com/vi/R0TM5Y2toT0/hq720.jpg
💥💶Strompreis: An Doppelmoral ist das nicht mehr zu überbieten! Bernd Schattner - AfD-Fraktion BT,https://www.youtube.com/watch?v=zPeGoXCHoMY,248,33952,2023-10-26,https://i.ytimg.com/vi/zPeGoXCHoMY/hq720.jpg
Deutschland moralisiert sich zu Tode! Jürgen Braun - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=svikkW9UK_g,256,38825,2023-10-25,https://i.ytimg.com/vi/svikkW9UK_g/hq720.jpg
Frieden für die Koreanische Halbinsel - Petr Bystron - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=VnVnNyZM0Pc,218,10148,2023-10-25,https://i.ytimg.com/vi/VnVnNyZM0Pc/hq720.jpg
🇩🇪🔥Deutschland brennt und Faeser macht Urlaub🏖 auf Mallorca! Martin Hess- AfD-Fraktions-TV🎙,https://www.youtube.com/watch?v=40ck02SuwzA,940,81035,2023-10-25,https://i.ytimg.com/vi/40ck02SuwzA/hq720.jpg
Dr. Rainer Kraft rechnet mit dem Wasserstoff-Märchen der🚦-Regierung ab! AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=2RtmDlQL_OE,272,17568,2023-10-25,https://i.ytimg.com/vi/2RtmDlQL_OE/hq720.jpg
Es braucht den gleichgeschalteten Leviathan aus Brüssel nicht! Thomas Seitz AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=sQrGo5bLa7I,182,8255,2023-10-25,https://i.ytimg.com/vi/sQrGo5bLa7I/hq720.jpg
"Sie präsentieren eine parlamentarische Scharade!, Thomas Seitz - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=xwfR8tAZgD4,200,13002,2023-10-24,https://i.ytimg.com/vi/xwfR8tAZgD4/hq720.jpg
Wir als AfD stehen zu unseren Bauern! Frank Rinck - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=D_3qoQdKs2w,242,8064,2023-10-24,https://i.ytimg.com/vi/D_3qoQdKs2w/hq720.jpg
Die Ampel träumt weiter den Schlaf der Selbstgerechten… Rüdiger Lucassen - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=ZaEngBcgqSU,208,10355,2023-10-24,https://i.ytimg.com/vi/ZaEngBcgqSU/hq720.jpg
"Ampel-Politik: ignorant, dumm, böswillig - Karsten Hilse - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=xW9R9q6OC-w,214,42486,2023-10-24,https://i.ytimg.com/vi/xW9R9q6OC-w/hq720.jpg
Dieses Gesetz ist ein Etikettenschwindel! - Thomas Dietz - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=hlf6GXxNFpE,224,9262,2023-10-24,https://i.ytimg.com/vi/hlf6GXxNFpE/hq720.jpg
Das ist ein Offenbarungseid des Rechtsstaates! Fabian Jacobi - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=DVAGTs8EKfw,220,28364,2023-10-23,https://i.ytimg.com/vi/DVAGTs8EKfw/hq720.jpg
Clubs in Wohngebieten? Den Linken ist die Ruhestörung egal! Roger Beckamp - AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=C8iJH02jubY,180,14135,2023-10-23,https://i.ytimg.com/vi/C8iJH02jubY/hq720.jpg
Gut gemeint ist noch nicht gut gemacht!  - Jörn König - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=-jJtDFN6BCw,200,4667,2023-10-23,https://i.ytimg.com/vi/-jJtDFN6BCw/hq720.jpg
Die Regierung gefährdet Freiheit und Demokratie! - Jan Nolte - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=5wT6wxBqV4I,188,13453,2023-10-23,https://i.ytimg.com/vi/5wT6wxBqV4I/hq720.jpg
Feministische Reflexe? Baerbock und ihre lächerliche🚫 Außenpolitik… Steffen Kotré - AfD-Fraktion BT,https://www.youtube.com/watch?v=MofavBzDEX0,204,28118,2023-10-23,https://i.ytimg.com/vi/MofavBzDEX0/hq720.jpg
"Das dümmste, was man mit Steuergeldern machen kann! - Dr. Dirk Spaniel - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=UsBrok01BbY,256,38302,2023-10-23,https://i.ytimg.com/vi/UsBrok01BbY/hq720.jpg
Irre: Nach dem Heizungshammer kommt nun der Mauthammer🚗💥! Dirk Brandes - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=tPOxJQu2A4s,276,22075,2023-10-22,https://i.ytimg.com/vi/tPOxJQu2A4s/hq720.jpg
Importierter Judenhass in 🇩🇪 ist leider Normalität! Dr. Marc Jongen - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=04v_UQLFLEY,212,14064,2023-10-22,https://i.ytimg.com/vi/04v_UQLFLEY/hq720.jpg
"Der Elefant im Raum ist muslimisch!, Beatrix von Storch - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=w7vbo22McXI,258,115549,2023-10-22,https://i.ytimg.com/vi/w7vbo22McXI/hq720.jpg
Andreas Bleck zeigt die grüne Volksverblödung auf! AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=NBM5LbpuVmU,272,43340,2023-10-22,https://i.ytimg.com/vi/NBM5LbpuVmU/hq720.jpg
Vollkommen irre: Die Asylpolitik der🚦-Regierung! Martin Sichert - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=OnzO1AbUiak,284,50635,2023-10-22,https://i.ytimg.com/vi/OnzO1AbUiak/hq720.jpg
Der ostdeutsche Mittelstand geht am bürokratischen Krückstock! Enrico Komning - AfD-Fraktion BT,https://www.youtube.com/watch?v=0HXIVKZ_X5Q,380,16112,2023-10-21,https://i.ytimg.com/vi/0HXIVKZ_X5Q/hq720.jpg
Bürokratiemonster! 💡🚫Dieser Murks muss ersatzlos gestrichen werden! Leif-Erik Holm - AfD-Fraktion BT,https://www.youtube.com/watch?v=8vtguSQVzZU,232,19841,2023-10-21,https://i.ytimg.com/vi/8vtguSQVzZU/hq720.jpg
Was für ein Irrsinn!!! 🇩🇪 im WÜRGEGRIFF der Bürokraten! Stephan Brandner AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=lm59iHT1emg,286,28094,2023-10-21,https://i.ytimg.com/vi/lm59iHT1emg/hq720.jpg
"Cannabis: vollkommen irrationale Politik, Jörg Schneider - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=nh1dJbCvtC0,256,8047,2023-10-21,https://i.ytimg.com/vi/nh1dJbCvtC0/hq720.jpg
Reformen allein in der Ausbildung der Physiotherapieberufe reichen nicht! AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=mn8FGlTUKO8,224,3455,2023-10-21,https://i.ytimg.com/vi/mn8FGlTUKO8/hq720.jpg
Keine Unterstützung für palästinische Terrororganisationen! Gerold Otten- AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=w2Lvyi5Nr8c,262,9271,2023-10-21,https://i.ytimg.com/vi/w2Lvyi5Nr8c/hq720.jpg
Dieses Gesetz ist für das Land eine Katastrophe! Dr. Dirk Spaniel - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=xMkJlQ2y3hk,276,42795,2023-10-20,https://i.ytimg.com/vi/xMkJlQ2y3hk/hq720.jpg
Marc Bernhard rechnet mit der Energiepolitik der Ampel ab! 🚦 - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=UHoVmWR8pzs,224,23111,2023-10-20,https://i.ytimg.com/vi/UHoVmWR8pzs/hq720.jpg
Wolfgang Wiehle deckt Machtlosigkeit der FDP innerhalb der 🚦-Regierung auf!  AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=Zd3qAgLUYUs,282,15082,2023-10-20,https://i.ytimg.com/vi/Zd3qAgLUYUs/hq720.jpg
Norbert Kleinwächter entlarvt das Asyldesaster💥 der CDU! AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=aJdKntJIYf8,273,154469,2023-10-20,https://i.ytimg.com/vi/aJdKntJIYf8/hq720.jpg
Verarmte Rentner: Sind Sie der🚦-Regierung egal?! Gerrit Huy - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=sw2LhP6Bu4M,338,23197,2023-10-20,https://i.ytimg.com/vi/sw2LhP6Bu4M/hq720.jpg
AfD-Rede zur Seenotrettung treibt Grüne zur Weißglut! Petr Bystron - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=eFl2MzoqIcw,200,104597,2023-10-19,https://i.ytimg.com/vi/eFl2MzoqIcw/hq720.jpg
KGE kocht🔥: Stephan Brandner deckt die zwielichtigen Gebaren der Grünen auf!  AfD-Fraktion im BT,https://www.youtube.com/watch?v=w2DIvbr8YDw,274,257433,2023-10-19,https://i.ytimg.com/vi/w2DIvbr8YDw/hq720.jpg
Leif-Erik Holm rechnet mit der Arroganz und Überheblichkeit der Altparteien ab! - AfD-Fraktion,https://www.youtube.com/watch?v=JWilM5vwR98,262,48842,2023-10-19,https://i.ytimg.com/vi/JWilM5vwR98/hq720.jpg
Wir brauchen Frieden statt Krieg und Feindschaft! Tino Chrupalla - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=nHPSpLh5h-8,432,63155,2023-10-19,https://i.ytimg.com/vi/nHPSpLh5h-8/hq720.jpg
Knallharte Kampfansage an alle Gender-Ideologen! Götz Frömming - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=nKCVKZ9Vb0c,340,47089,2023-10-19,https://i.ytimg.com/vi/nKCVKZ9Vb0c/hq720.jpg
Neue Europäische Sicherheits- und Wirtschaftsordnung: Konferenz des AK Außen -AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=H5x8GPxhrmw,8994,16990,2023-10-18,https://i.ytimg.com/vi/H5x8GPxhrmw/hq720.jpg?v=652e9524
💥 Stephan Brandner lobt Lesefähigkeit grüner Staatssekretärin - Grüne ticken völlig aus! - AfD,https://www.youtube.com/watch?v=uermHvtpOrk,225,223596,2023-10-18,https://i.ytimg.com/vi/uermHvtpOrk/hq720.jpg
Schämen Sie sich alle! Martin Hess rechnet mit der Heuchlerei🚫💥 der Altparteien ab! AfD-Fraktion BT,https://www.youtube.com/watch?v=HK9O7IvVk2E,338,177629,2023-10-18,https://i.ytimg.com/vi/HK9O7IvVk2E/hq720.jpg
Regierungsbefragung: AfD-Fraktion grillt FDP-Minister! - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=R-kVytwxxuE,1049,78267,2023-10-18,https://i.ytimg.com/vi/R-kVytwxxuE/hq720.jpg
💶💥700 Millionen Euro jährlich für Stiftungen! Dr. Götz Frömming & Albrecht Glaser - AfD-Fraktions-TV,https://www.youtube.com/watch?v=OUtY5HEUIZk,1185,23991,2023-10-17,https://i.ytimg.com/vi/OUtY5HEUIZk/hq720.jpg
Deutschland ist bei der Digitalisierung das Schlusslicht! Tobias Peterka - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=-InvY25OAwk,256,3768,2023-10-17,https://i.ytimg.com/vi/-InvY25OAwk/hq720.jpg
KI statt Ampel: AfD-Vorschlag sorgt für Heiterkeit! Eugen Schmidt - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=SezZ84UmD5A,206,18338,2023-10-17,https://i.ytimg.com/vi/SezZ84UmD5A/hq720.jpg
Diese EU-Vorgaben sind sinnlos! Dr. Rainer Kraft - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=Bp4yjExA9V4,218,4222,2023-10-17,https://i.ytimg.com/vi/Bp4yjExA9V4/hq720.jpg
KI: Laut gerufen und schwach gesprungen! Barbara Benkstein - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=I4I_A6bBXgQ,264,5929,2023-10-17,https://i.ytimg.com/vi/I4I_A6bBXgQ/hq720.jpg
"Gute Nacht CDU!, Dietmar Friedhoff - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=rphhJYCLLMs,216,22789,2023-10-17,https://i.ytimg.com/vi/rphhJYCLLMs/hq720.jpg
Wir brauchen eine Generalumkehr in der Klima-Politik! Klaus Stöber - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=qWyTE54Cfh4,194,2548,2023-10-17,https://i.ytimg.com/vi/qWyTE54Cfh4/hq720.jpg
Qualität der Steuerberatung erhalten! - Klaus Stöber - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=7EB5rGSAu0I,230,3053,2023-10-16,https://i.ytimg.com/vi/7EB5rGSAu0I/hq720.jpg
Moldau in die EU? Das ist den Bürgern nicht fair gegenüber! Markus Frohnmaier - AfD-Fraktion im BT,https://www.youtube.com/watch?v=3ITyedl-hzY,220,14666,2023-10-16,https://i.ytimg.com/vi/3ITyedl-hzY/hq720.jpg
Dieser Staat delegitimiert sich selbst!  Fabian Jacobi - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=3xBSDP4aTVE,220,10544,2023-10-16,https://i.ytimg.com/vi/3xBSDP4aTVE/hq720.jpg
"Sie gaukeln hier Transparenz vor, wo keine ist! Jan Wenzel Schmidt - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=hOqrFTb8Uo4,176,3935,2023-10-16,https://i.ytimg.com/vi/hOqrFTb8Uo4/hq720.jpg
Ganz einfach: Offene Grenzen und Sozialstaat schließen einander aus! Roger Beckamp- AfD-Fraktion BT,https://www.youtube.com/watch?v=LK3srn0kRig,278,19750,2023-10-16,https://i.ytimg.com/vi/LK3srn0kRig/hq720.jpg
Zusammenarbeit für Gründer attraktiver machen! Prof. Dr. Michael Kaufmann - AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=a1tUpEK2aWU,262,2113,2023-10-16,https://i.ytimg.com/vi/a1tUpEK2aWU/hq720.jpg
Die Ampel-Ideologie ist schädlich für unser Land! Tobias Peterka - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=iW5IfFFlUEI,270,9524,2023-10-16,https://i.ytimg.com/vi/iW5IfFFlUEI/hq720.jpg
Wir brauchen die Festung Europa! Sichere Grenzen jetzt! Dr. Christian Wirth - AfD-Fraktion Bundestag,https://www.youtube.com/watch?v=eHnbBvZUZjM,256,12906,2023-10-15,https://i.ytimg.com/vi/eHnbBvZUZjM/hq720.jpg
Sach- statt Geldleistungen für Asylbewerber! Gerrit Huy - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=ALhOGJEeyFs,260,19247,2023-10-15,https://i.ytimg.com/vi/ALhOGJEeyFs/hq720.jpg
"Der BND ist gefordert, wie seit dem Kalten Krieg nicht mehr! Dr. Christian Wirth -AfD-Fraktion im BT",https://www.youtube.com/watch?v=a1dSm9_-4xI,250,3132,2023-10-15,https://i.ytimg.com/vi/a1dSm9_-4xI/hq720.jpg
Die letzten parlamentarischen Zuckungen der Linken! Stephan Brandner -AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=2pYtBA81T1g,178,34920,2023-10-15,https://i.ytimg.com/vi/2pYtBA81T1g/hq720.jpg
Die Linken wollen unsere Gesellschaft zurückwerfen! Fabian Jacobi - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=Xh6ounJJXDA,160,7578,2023-10-15,https://i.ytimg.com/vi/Xh6ounJJXDA/hq720.jpg
Wohnungsnot und Mietenkrise: Die Ursachen müssen benannt werden! Thomas Seitz - AfD-Fraktion im BT,https://www.youtube.com/watch?v=K50HuFRYvkY,214,8434,2023-10-15,https://i.ytimg.com/vi/K50HuFRYvkY/hq720.jpg
Auch die Union ist längst der Klima-Hysterie🌍🚫 verfallen! Steffen Kotré - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=6Vb-GbZe8ik,208,9199,2023-10-15,https://i.ytimg.com/vi/6Vb-GbZe8ik/hq720.jpg
Sie zerstören Deutschland! - Karsten Hilse - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=xZYbx5tiTCw,158,16922,2023-10-15,https://i.ytimg.com/vi/xZYbx5tiTCw/hq720.jpg
Linke missbrauchen „Nachhaltigkeit“ für ihre Agenda! Marc Jongen - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=jBFboUld62Y,156,6853,2023-10-14,https://i.ytimg.com/vi/jBFboUld62Y/hq720.jpg
Die Verkehrs-und Tourismusbranche braucht langfristige Lösungen! Mike Moncsek - AfD-Fraktion im BT,https://www.youtube.com/watch?v=lFzeGfnE9Bk,160,2733,2023-10-14,https://i.ytimg.com/vi/lFzeGfnE9Bk/hq720.jpg
Sie haben Deutschland nachhaltig ruiniert! - Stephan Brandner AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=i5HAmY6tEPo,180,45889,2023-10-14,https://i.ytimg.com/vi/i5HAmY6tEPo/hq720.jpg
Leistungsträger werden hemmungslos ausgebeutet! - Michael Kaufmann AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=ygWNF6_1EsQ,286,12333,2023-10-14,https://i.ytimg.com/vi/ygWNF6_1EsQ/hq720.jpg
"Raumfahrt: Die Ampel versagt ein weiteres Mal!, Dr. Malte Kaufmann - AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=EjeJ0k4f92I,262,4936,2023-10-14,https://i.ytimg.com/vi/EjeJ0k4f92I/hq720.jpg
Diese Regierung will von der Realität nichts wissen! - Dr Malte Kaufmann - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=j_vvO3j9M_g,274,15691,2023-10-14,https://i.ytimg.com/vi/j_vvO3j9M_g/hq720.jpg
Eine globale Mindestbesteuerung ist purer Zynismus! Albrecht Glaser- AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=plJJuTvZUA8,262,11377,2023-10-14,https://i.ytimg.com/vi/plJJuTvZUA8/hq720.jpg
Ihre Verachtung der Bürger erinnert an die Klima-Extremisten! Carolin Bachmann - AfD-Fraktion im BT,https://www.youtube.com/watch?v=-y_Fmjft90A,266,86799,2023-10-13,https://i.ytimg.com/vi/-y_Fmjft90A/hq720.jpg
Die Ampel fährt die Wirtschaft mit Vollgas gegen die Wand! Ulrike Schielke-Ziesig - AfD-Fraktion BT,https://www.youtube.com/watch?v=uQj9ddbW8j8,320,21790,2023-10-13,https://i.ytimg.com/vi/uQj9ddbW8j8/hq720.jpg
Gute Lebensmittel muss sich jeder leisten können! Peter Felser - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=hjXm4qqG5M0,61,2400,2023-10-13,https://i.ytimg.com/vi/hjXm4qqG5M0/hq720.jpg
Stiftungsgesetz: Dreistes Lehrstück von Machtmissbrauch & Vetternwirtschaft! Peter Boehringer - AfD,https://www.youtube.com/watch?v=QPxQPP5k9Cs,276,46693,2023-10-13,https://i.ytimg.com/vi/QPxQPP5k9Cs/hq720.jpg
Schluss mit der bürokratischen Gängelung der Bürger! Jörn König - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=TD47fLVOcuY,258,11037,2023-10-13,https://i.ytimg.com/vi/TD47fLVOcuY/hq720.jpg
Die soziale Marktwirtschaft ist ALTERNATIVLOS! Enrico Komning - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=WSlZgrpcNsI,208,4241,2023-10-13,https://i.ytimg.com/vi/WSlZgrpcNsI/hq720.jpg
Faeser hat Deutschland🇩🇪 massiv geschadet! Dr. Bernd Baumann im Interview🎙-AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=e-XUGFDQnIE,534,126685,2023-10-12,https://i.ytimg.com/vi/e-XUGFDQnIE/hq720.jpg
"Markus Frohnmaier erklärt, was WIRKLICH hinter der Agenda2030🌍 steckt! AfD-Fraktion im Bundestag",https://www.youtube.com/watch?v=HzIIUQXLxpI,156,25779,2023-10-12,https://i.ytimg.com/vi/HzIIUQXLxpI/hq720.jpg
"Irre: Regierung plant mit Energie, die wir gar nicht haben! Andreas Bleck - AfD-Fraktion Bundestag",https://www.youtube.com/watch?v=zYsWJ7dFJ7k,268,43320,2023-10-12,https://i.ytimg.com/vi/zYsWJ7dFJ7k/hq720.jpg
Von wegen nachhaltig: Sie träumen eine Lebenslüge vom reichen 🇩🇪! Dr. Rainer Kraft - AfD-Fraktion BT,https://www.youtube.com/watch?v=-0JkT_LunoU,346,32438,2023-10-12,https://i.ytimg.com/vi/-0JkT_LunoU/hq720.jpg
Hamas auf unseren Straßen: Dieser Islam gehört nicht zu 🇩🇪! Jürgen Braun- AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=AIOZVoEkh_c,220,52031,2023-10-12,https://i.ytimg.com/vi/AIOZVoEkh_c/hq720.jpg
Hamas-Terror: Matthias Moosdorf kritisiert die Heuchelei der SPD - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=fuiDd7yPkMM,216,188456,2023-10-12,https://i.ytimg.com/vi/fuiDd7yPkMM/hq720.jpg
Alexander Gauland zur Lage im Nahen Osten! - AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=HjAlsENa1LI,284,252833,2023-10-12,https://i.ytimg.com/vi/HjAlsENa1LI/hq720.jpg
Beatrix von Storch über die Folgen der verfehlten Einwanderungspolitik!  AfD-Fraktion im Bundestag,https://www.youtube.com/watch?v=DfGNRzKD_3Q,312,195646,2023-10-11,https://i.ytimg.com/vi/DfGNRzKD_3Q/hq720.jpg
